# Variable   : Order 0 moment of mode 1 droplets (m0_mode1drop)
# Units      : m-3
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    m0_mode1drop [m-3]
9.453063e-03    6.740466e-29
4.835103e-02    6.724234e-29
1.530462e-01    6.681727e-29
3.733526e-01    6.598764e-29
7.543377e-01    6.463810e-29
1.339602e+00    6.260146e-29
2.170168e+00    5.982011e-29
3.283600e+00    5.628764e-29
4.712794e+00    5.200043e-29
6.484789e+00    4.705724e-29
8.619615e+00    4.160988e-29
1.113009e+01    3.584624e-29
1.402108e+01    3.001777e-29
1.728685e+01    2.436796e-29
2.090608e+01    1.917939e-29
2.474833e+01    1.472169e-29
2.853675e+01    1.115987e-29
3.210126e+01    8.478300e-30
3.545018e+01    6.445991e-30
3.859743e+01    5.228718e-30
4.156841e+01    2.057210e-23
4.439502e+01    2.122519e-16
4.710001e+01    1.908910e-09
4.967126e+01    3.793152e-01
5.208324e+01    1.019516e+05
5.433362e+01    1.835807e+06
5.643067e+01    1.256210e+07
5.839917e+01    1.210660e+09
6.028508e+01    1.227105e+09
6.211965e+01    1.233881e+09
6.390838e+01    6.924705e+08
6.565220e+01    6.350724e+08
6.736221e+01    3.621167e+08
6.905500e+01    2.098621e+08
7.071644e+01    1.827944e+08
7.232953e+01    3.673177e+08
7.389331e+01    5.998600e+08
7.540461e+01    7.846999e+08
7.687348e+01    8.565160e+08
7.831750e+01    9.504657e+08
7.974356e+01    9.869199e+08
8.114591e+01    8.695591e+08
8.251665e+01    5.334126e+08
8.384731e+01    1.482532e+01
8.513078e+01    1.016128e-06
8.653203e+01    1.422749e-13
8.837267e+01    2.465157e-20
9.070715e+01    1.498207e-27
9.344974e+01    3.197829e-34
9.652660e+01    1.250030e-34
9.900689e+01    6.578412e-35
1.009088e+02    4.209207e-35
1.028248e+02    2.652270e-35
1.047654e+02    1.681105e-35
1.067368e+02    1.071867e-35
1.087299e+02    6.747231e-36
1.107373e+02    4.223583e-36
1.127456e+02    2.616605e-36
1.146894e+02    1.576715e-36
1.165254e+02    1.033414e-36
1.182741e+02    6.252425e-37
1.199643e+02    3.783029e-37
1.216107e+02    2.325583e-37
1.232182e+02    1.377733e-37
1.247976e+02    8.235307e-38
1.263583e+02    4.949914e-38
1.279002e+02    2.958887e-38
1.294201e+02    1.756194e-38
1.309247e+02    1.030342e-38
1.324344e+02    5.947656e-39
1.339776e+02    3.366038e-39
1.355800e+02    1.864601e-39
1.372562e+02    1.010871e-39
1.390072e+02    5.368024e-40
1.408222e+02    2.796277e-40
1.426838e+02    1.431118e-40
1.445742e+02    7.187680e-41
1.464799e+02    3.529871e-41
