# Variable   : Radius of mode 1 droplets (r1)
# Units      : m
# Time       : 100863603.0 (index -1)
# Longitude  : 2.5444437748716082e-14° (index 48)
# Latitude   : -0.0° (index 48)
#
# altitude [km]    r1 [m]
9.453063e-03    0.000000e+00
4.835103e-02    0.000000e+00
1.530462e-01    0.000000e+00
3.733526e-01    0.000000e+00
7.543377e-01    0.000000e+00
1.339602e+00    0.000000e+00
2.170168e+00    0.000000e+00
3.283600e+00    0.000000e+00
4.712794e+00    0.000000e+00
6.484789e+00    0.000000e+00
8.619615e+00    0.000000e+00
1.113009e+01    0.000000e+00
1.402108e+01    0.000000e+00
1.728685e+01    0.000000e+00
2.090608e+01    0.000000e+00
2.474833e+01    0.000000e+00
2.853675e+01    0.000000e+00
3.210126e+01    0.000000e+00
3.545018e+01    0.000000e+00
3.859743e+01    0.000000e+00
4.156841e+01    0.000000e+00
4.439502e+01    1.985535e-05
4.710001e+01    6.845551e-06
4.967126e+01    6.852795e-06
5.208324e+01    6.030282e-06
5.433362e+01    4.253448e-07
5.643067e+01    2.596569e-07
5.839917e+01    2.272358e-07
6.028508e+01    2.282257e-07
6.211965e+01    2.332559e-07
6.390838e+01    2.319907e-07
6.565220e+01    2.142129e-07
6.736221e+01    2.101661e-07
6.905500e+01    2.073323e-07
7.071644e+01    1.877840e-07
7.232953e+01    1.295297e-07
7.389331e+01    9.534974e-08
7.540461e+01    7.530925e-08
7.687348e+01    6.331469e-08
7.831750e+01    6.102110e-08
7.974356e+01    5.413289e-08
8.114591e+01    5.160429e-08
8.251665e+01    5.191996e-08
8.384731e+01    5.185380e-08
8.513078e+01    5.184012e-08
8.653203e+01    2.802551e-07
8.837267e+01    4.254576e-05
9.070715e+01    8.850001e-03
9.344974e+01    1.112053e+00
9.652660e+01    1.143147e+00
9.900689e+01    1.143147e+00
1.009088e+02    1.143147e+00
1.028248e+02    1.143147e+00
1.047654e+02    1.143147e+00
1.067368e+02    1.143147e+00
1.087299e+02    1.143147e+00
1.107373e+02    1.143147e+00
1.127456e+02    1.143147e+00
1.146894e+02    1.143147e+00
1.165254e+02    1.143147e+00
1.182741e+02    1.143147e+00
1.199643e+02    1.143147e+00
1.216107e+02    1.143147e+00
1.232182e+02    1.143147e+00
1.247976e+02    1.143147e+00
1.263583e+02    1.143147e+00
1.279002e+02    1.143147e+00
1.294201e+02    1.143147e+00
1.309247e+02    1.143147e+00
1.324344e+02    1.143147e+00
1.339776e+02    1.143147e+00
1.355800e+02    1.143147e+00
1.372562e+02    1.143147e+00
1.390072e+02    1.143147e+00
1.408222e+02    1.143147e+00
1.426838e+02    1.143147e+00
1.445742e+02    1.143147e+00
1.464799e+02    1.143147e+00
